,area,positive
0,Stará Ľubovňa,164
1,Komárno,113
2,Medzilaborce,12
3,Sobrance,97
4,Nové Zámky,304
5,Bardejov,317
6,Krupina,15
7,Martin,156
8,Bánovce nad Bebravou,34
9,Humenné,152
10,Námestovo,560
11,Žilina,108
12,Svidník,133
13,Dolný Kubín,173
14,Trnava,276
15,Pezinok,58
16,Stropkov,106
17,Košice-okolie,66
18,Prešov,144
19,Skalica,46
20,Tvrdošín,241
21,Prievidza,261
22,Trebišov,162
23,Snina,55
24,Nitra,159
25,Sabinov,49
26,Liptovský Mikuláš,117
27,Lučenec,28
28,Senica,85
29,Veľký Krtíš,27
30,Kežmarok,44
31,Vranov nad Topľou,55
32,Hlohovec,51
33,Zlaté Moravce,43
34,Partizánske,21
35,Dunajská Streda,117
36,Banská Bystrica,205
37,Zvolen,37
38,Topoľčany,75
39,Spišská Nová Ves,136
40,Púchov,29
41,Myjava,29
42,Brezno,67
43,Ružomberok,43
44,Poprad,113
45,Michalovce,92
46,Žiar nad Hronom,48
47,Malacky,67
48,Levice,14
49,Ilava,39
50,Gelnica,33
51,Trenčín,128
52,Nové Mesto nad Váhom,50
53,Galanta,70
54,Levoča,11
55,Kysucké Nové Mesto,13
56,Senec,92
57,Banská Štiavnica,11
58,Považská Bystrica,48
59,Revúca,4
60,Čadca,58
61,Piešťany,46
62,Žarnovica,13
63,Bratislava I,116
64,Košice II,82
65,Bytča,11
66,Košice IV,41
67,Detva,77
68,Košice I,95
69,Bratislava IV,93
70,Rožňava,9
71,Rimavská Sobota,10
72,Bratislava II,113
73,Bratislava III,69
74,Košice III,3
75,Bratislava V,101
76,Šaľa,21
77,Turčianske Teplice,5
78,Poltár,2
